,1. open,2. high,3. low,4. close,5. volume
2019-12-02,216.4600,217.0000,208.6400,209.2500,9346742
2019-12-03,201.8700,207.8200,200.3700,207.6600,11853653
2019-12-04,211.0200,211.9200,208.2700,209.4200,6840459
2019-12-05,210.3000,210.9300,207.5100,208.7400,4628444
2019-12-06,211.5200,213.4900,211.1200,212.1700,5810457
2019-12-09,211.2500,214.3700,210.9000,212.1700,5378320
2019-12-10,213.3800,216.0600,211.2600,213.9800,6417228
2019-12-11,214.4000,217.5600,214.3000,217.3400,5850247
2019-12-12,216.1800,224.8000,215.8200,224.0700,10152084
2019-12-13,224.1900,228.9800,221.8200,223.9900,11374183
2019-12-16,225.9000,228.0600,224.7700,225.1500,8032684
2019-12-17,225.9000,229.2000,225.5200,228.2900,8081598
2019-12-18,229.6900,231.9400,229.3500,229.5100,8606969
2019-12-19,230.9000,236.0000,230.7000,235.4600,11327674
2019-12-20,238.1300,240.3900,237.3600,239.3700,15084607
2019-12-23,240.5200,241.8100,238.3900,238.8200,8884815
2019-12-24,238.2000,239.3100,236.8200,238.6200,3471597
2019-12-26,238.7600,240.3200,238.0000,239.1900,4580451
2019-12-27,239.8000,240.3400,235.8100,236.8700,6370251
2019-12-30,235.9900,236.2000,231.0600,232.3200,6456178
2019-12-31,230.9000,235.6800,230.1300,235.3000,5780283
2020-01-02,238.7500,239.9100,236.7200,239.9100,5941969
2020-01-03,235.1000,237.8300,234.1000,236.0700,5144308
2020-01-06,232.3200,237.2700,231.2700,237.0600,6572812
2020-01-07,238.2000,241.7700,236.3900,239.9300,7980144
2020-01-08,239.7600,242.0400,238.1500,240.3800,6931017
2020-01-09,243.8500,245.9300,240.8600,243.0200,6386053
2020-01-10,247.3300,248.5500,243.7500,244.3200,7911560
2020-01-13,247.6600,252.9900,246.7500,251.9800,7739168
2020-01-14,250.2600,251.2800,246.7500,247.2800,8989483
2020-01-15,247.7900,248.6900,244.5300,245.5700,6577636
2020-01-16,247.7200,249.1700,246.7800,248.9300,7104791
2020-01-17,249.7000,250.0000,247.3700,249.2800,6344764
2020-01-21,247.8100,249.2900,246.5700,247.9400,5321260
2020-01-22,249.7600,253.5900,249.0000,250.1100,5980967
2020-01-23,251.7200,253.2000,248.1500,252.8600,6112861
2020-01-24,257.5000,259.5000,248.3000,250.4800,9337839
2020-01-27,238.2400,242.2500,232.2300,240.2000,11763354
2020-01-28,242.8500,249.2700,240.7100,247.9700,7774401
2020-01-29,247.3900,248.8400,243.9400,245.5400,6486279
2020-01-30,241.6100,246.3500,239.4000,245.8100,7262590
2020-01-31,243.9700,244.4500,234.7500,236.4300,9260493
2020-02-03,235.7000,241.1100,235.4500,240.3300,6398205
2020-02-04,246.0300,247.9000,244.0200,247.1300,6788589
2020-02-05,251.9900,252.4000,247.4100,250.7600,5205502
2020-02-06,252.1400,254.2500,248.8800,254.2500,5457051
2020-02-07,252.6400,253.5300,250.5700,251.5900,4743803
2020-02-10,252.5000,263.0000,252.3000,262.9700,13240194
2020-02-11,267.3200,272.5000,264.8300,267.8900,15963922
2020-02-12,270.0100,272.8000,268.4500,272.5400,9366118
2020-02-13,270.2100,273.4800,269.1100,270.7800,13200384
2020-02-14,287.2600,294.9700,286.0000,289.7900,26048093
2020-02-18,285.6400,297.3100,284.8600,296.5700,15547025
2020-02-19,301.4900,315.4100,301.4900,314.7000,17358281
2020-02-20,312.7700,316.3200,296.3500,308.7000,20251259
2020-02-21,304.1900,305.2000,290.6600,294.0700,19232331
2020-02-24,270.1900,281.8700,268.0000,273.2800,21422873
2020-02-25,276.3000,278.7900,257.9600,262.0500,26387442
2020-02-26,262.0600,275.4500,262.0000,267.6500,18741536
2020-02-27,254.9000,267.0000,248.8900,252.6000,22660373
2020-02-28,242.4600,272.4600,241.7900,270.0700,28366882
2020-03-02,276.9000,277.5900,261.0000,276.4300,22268639
2020-03-03,278.6700,281.0700,262.4600,265.8900,16319828
2020-03-04,270.2000,284.8900,267.2000,284.5100,14935184
2020-03-05,276.5000,283.2000,271.5000,273.2900,13508187
2020-03-06,266.0800,268.3900,258.0000,266.0400,12885307
2020-03-09,239.9000,259.4000,238.1800,245.4400,15353960
2020-03-10,256.5400,261.0800,245.9900,261.0800,14516218
2020-03-11,255.4600,256.6000,242.5700,246.4700,12551693
2020-03-12,225.4600,236.1200,215.8000,216.3100,20413535
2020-03-13,230.5000,241.0200,219.6100,240.8400,15870943
2020-03-16,212.4100,226.1000,194.0000,196.4000,18174303
2020-03-17,200.9100,220.8600,191.0000,217.2700,20840799
2020-03-18,200.1000,209.9400,180.6800,202.8200,21727385
2020-03-19,201.9600,216.7300,193.3900,212.9700,19137847
2020-03-20,219.0000,230.3200,205.1300,205.7500,20115854
2020-03-23,205.7100,216.4800,198.5200,212.6900,16096866
2020-03-24,229.0000,252.6600,228.0500,249.1800,27541095
2020-03-25,253.8000,261.8200,243.6600,245.6200,19835767
2020-03-26,253.9400,262.2200,250.0000,257.2400,17439692
2020-03-27,250.0000,263.1200,248.6800,252.7300,15970744
2020-03-30,255.3600,265.9600,253.5900,265.5900,15056253
2020-03-31,267.2000,275.4000,257.7500,263.6000,23749014
2020-04-01,255.6500,261.5300,241.2800,243.0700,16422828
2020-04-02,244.2400,256.0000,242.3100,255.4700,16894113
2020-04-03,253.9600,255.6300,238.3900,243.9100,16580346
2020-04-06,255.2400,269.8800,252.9300,268.4000,18197062
2020-04-07,277.3000,278.2500,257.3000,259.0300,19613047
2020-04-08,263.4100,267.9500,260.6000,266.9500,13561113
2020-04-09,272.0000,272.9200,260.4200,262.9500,13156195
2020-04-13,260.5500,270.2000,257.0000,269.8500,9960182
2020-04-14,275.0000,285.3200,273.8900,283.9500,13273667
2020-04-15,277.2000,284.1700,275.3800,280.8400,9153721
2020-04-16,287.0800,299.0000,286.5500,294.7000,18640510
2020-04-17,298.0000,298.8600,286.9400,292.3200,13478049
2020-04-20,287.2400,293.5000,285.2700,287.0500,11234705
2020-04-21,282.3100,284.7700,267.1100,269.5100,18378996
2020-04-22,277.2300,287.8700,275.4000,286.1500,12118228
2020-04-23,287.8400,293.1400,283.0000,284.0100,10603988
2020-04-24,283.6000,289.6700,280.6000,289.5900,8816137
2020-04-27,294.9900,303.5000,294.0000,297.0800,11984699
2020-04-28,303.0000,304.2000,291.1400,291.3600,11072603
2020-04-29,296.7700,300.5800,293.7500,298.4600,9479047
2020-04-30,296.2900,298.4600,291.7200,292.2800,9397943
2020-05-01,284.3500,288.9000,280.8400,282.7800,8552445
2020-05-04,280.8800,291.8400,280.8800,291.2900,7938880
2020-05-05,295.4700,300.2700,291.2900,293.7400,9222391
2020-05-06,296.9300,302.0000,295.4100,297.7900,8086639
2020-05-07,303.3800,307.4100,301.3200,304.8700,9343263
2020-05-08,307.7500,312.7500,306.3900,312.5000,8497678
2020-05-11,312.3000,324.5000,311.1500,322.6200,11726504
2020-05-12,324.9400,326.9000,311.7100,312.1000,12326482
2020-05-13,316.7000,323.1400,303.7900,311.2000,15646252
2020-05-14,313.6700,321.4400,307.5000,321.2200,15057809
2020-05-15,315.5900,340.0200,314.9600,339.6300,24691543
2020-05-18,350.4200,356.6600,347.2200,350.0100,19410086
2020-05-19,351.6100,363.5000,350.5100,352.2200,17933049
2020-05-20,359.6400,361.7200,355.5500,358.8000,14688405
2020-05-21,362.0600,362.1000,349.5000,351.0100,17552200
2020-05-22,353.0100,363.7200,348.5300,361.0500,25969125
2020-05-26,366.2700,367.2700,346.8800,348.7100,19269476
2020-05-27,345.0000,345.3100,319.8700,341.0100,29397306
2020-05-28,336.4900,350.4200,335.1700,339.4800,18403204
2020-05-29,342.1800,355.0200,339.4000,355.0200,18647994
2020-06-01,353.3300,353.6300,347.5800,352.2500,9762775
2020-06-02,351.8500,353.4900,346.3200,353.0100,9783014
2020-06-03,352.8900,354.6500,348.0000,350.7800,9135972
2020-06-04,349.1200,357.7300,347.1000,350.6600,10606960
2020-06-05,351.7800,359.8800,348.3200,356.8000,12043651
2020-06-08,355.0900,355.5900,347.4300,352.2000,9693431
2020-06-09,352.0000,364.3900,350.0500,361.8400,11712221
2020-06-10,366.7100,380.0000,366.1400,374.6700,15804537
2020-06-11,366.0000,370.4500,351.4400,351.8500,14591256
2020-06-12,366.5000,367.4900,348.1300,357.3000,14272704
2020-06-15,352.6100,367.2900,349.7500,366.9500,10000054
