,1. open,2. high,3. low,4. close,5. volume
2019-12-02,202.1300,202.1800,198.0500,199.7000,11542020
2019-12-03,197.6000,198.9300,195.0800,198.8200,13014170
2019-12-04,200.0000,200.0300,198.0500,198.7100,8459939
2019-12-05,199.8600,201.2900,198.2100,199.3600,9755350
2019-12-06,200.5000,201.5700,200.0600,201.0500,12279525
2019-12-09,200.6500,203.1400,200.2100,201.3400,12013218
2019-12-10,201.6600,202.0500,200.1500,200.8700,9485568
2019-12-11,200.2800,202.6300,200.2800,202.2600,8041827
2019-12-12,202.3500,203.6600,194.1000,196.7500,23766986
2019-12-13,196.4000,196.8000,193.1700,194.1100,18806020
2019-12-16,195.2700,199.1200,194.8100,197.9200,14922733
2019-12-17,198.8400,199.0000,196.1300,198.3900,10177605
2019-12-18,200.0900,204.3000,200.0900,202.5000,23284746
2019-12-19,202.7800,206.3000,202.5100,206.0600,16808184
2019-12-20,207.4800,207.7100,203.4300,206.3000,27315226
2019-12-23,206.7000,208.5900,205.6800,206.1800,13353194
2019-12-24,206.3000,206.7900,205.0000,205.1200,6046273
2019-12-26,205.5700,207.8200,205.3100,207.7900,9368273
2019-12-27,208.6700,208.9300,206.5900,208.1000,10287634
2019-12-30,207.8600,207.9000,203.9000,204.4100,10534441
2019-12-31,204.0000,205.5600,203.6000,205.2500,8962756
2020-01-02,206.7500,209.7900,206.2700,209.7800,12090707
2020-01-03,207.2100,210.4000,206.9500,208.6700,11197416
2020-01-06,206.7000,212.7800,206.5200,212.6000,17073861
2020-01-07,212.8200,214.5800,211.7500,213.0600,15111857
2020-01-08,213.0000,216.2400,212.6100,215.2200,13492703
2020-01-09,217.5400,218.3800,216.2800,218.3000,12679579
2020-01-10,219.2000,219.8800,217.4200,218.0600,12127432
2020-01-13,219.6000,221.9700,219.2100,221.9100,14295658
2020-01-14,221.6100,222.3800,218.6300,219.0600,13315361
2020-01-15,220.6100,221.6800,220.1400,221.1500,10036475
2020-01-16,222.5700,222.6300,220.3900,221.7700,10015288
2020-01-17,222.0300,222.2900,220.5300,222.1400,15905944
2020-01-21,222.1600,222.3700,219.1200,221.4400,14162007
2020-01-22,222.3100,222.7500,221.2800,221.3200,12212814
2020-01-23,220.7500,221.4900,219.2700,219.7600,11195000
2020-01-24,220.8000,221.7800,216.1100,217.9400,11905824
2020-01-27,213.1000,216.0600,212.5000,214.8700,13810655
2020-01-28,216.1400,218.7400,213.5200,217.7900,13413835
2020-01-29,221.4400,224.2000,218.4500,223.2300,33610005
2020-01-30,206.5300,211.4300,204.7500,209.5300,48775500
2020-01-31,208.4300,208.6900,201.0600,201.9100,31359917
2020-02-03,203.4400,205.1400,202.5000,204.1900,15510509
2020-02-04,206.6200,210.6000,205.2000,209.8300,19628890
2020-02-05,212.5100,212.7300,208.7100,210.1100,12538154
2020-02-06,210.4700,211.1900,209.3400,210.8500,10567533
2020-02-07,210.3000,212.8200,209.9300,212.3300,12242530
2020-02-10,211.5200,213.8000,210.6600,213.0600,11856350
2020-02-11,210.1900,210.8600,206.5100,207.1900,25030810
2020-02-12,207.8500,211.2200,207.4000,210.7600,13813704
2020-02-13,209.5200,214.3300,209.1800,213.1400,15396625
2020-02-14,214.0000,214.9300,212.6500,214.1800,10741747
2020-02-18,213.5500,217.9800,213.4000,217.8000,15630026
2020-02-19,217.9900,218.3200,216.1100,217.4900,12135114
2020-02-20,216.5200,218.7700,212.9500,214.5800,13109213
2020-02-21,213.4800,214.2400,208.8300,210.1800,14098432
2020-02-24,201.8000,203.6500,198.1700,200.7200,23080057
2020-02-25,202.2500,203.5000,195.9500,196.7700,21433487
2020-02-26,197.1900,201.2100,195.4900,197.2000,16555210
2020-02-27,191.8200,195.8800,189.5000,189.7500,21682626
2020-02-28,182.7000,192.7400,181.8200,192.4700,32583494
